93 3
0 1 2 3 4 7 8 12 14 15 17 31 33 38 41 42 44 45 46 58 63 66 67 69 78 79 81 83 85 86 88 90 91 92 
1 2 3 
1 4 5 
4 0 6 
7 8 9 
4 10 11 
5 12 9 
13 14 15 
7 16 5 
17 3 18 
19 14 7 
10 20 5 
11 12 21 
22 9 23 
13 22 24 
16 3 13 
15 25 26 
16 19 11 
17 7 11 
27 8 21 
19 22 5 
20 5 11 
28 29 30 
22 31 6 
11 32 33 
24 23 34 
25 20 24 
26 33 35 
27 16 24 
28 11 26 
25 2 28 
30 36 37 
5 32 31 
20 38 27 
24 6 39 
40 41 42 
43 44 42 
36 13 26 
37 45 35 
10 2 19 
26 21 46 
40 24 37 
36 18 40 
42 47 37 
43 48 37 
47 49 20 
48 50 12 
37 51 46 
47 52 22 
48 53 32 
54 55 56 
52 57 58 
59 60 4 
52 26 61 
62 34 63 
54 64 61 
65 66 67 
68 69 70 
64 66 43 
58 71 72 
59 62 22 
73 74 68 
61 46 75 
62 39 56 
61 35 76 
64 28 37 
65 15 37 
15 77 34 
42 78 35 
68 37 72 
71 79 43 
70 80 5 
71 59 37 
72 63 9 
73 40 61 
30 81 35 
82 83 7 
72 56 31 
84 2 66 
85 49 2 
86 87 32 
80 43 72 
88 18 74 
82 61 5 
80 67 82 
84 4 24 
85 54 22 
86 73 22 
89 74 90 
88 27 26 
89 30 61 
58 91 75 
92 79 67 
92 86 37 
